,Overweight or Obese
Blood glucose,0.8826734986485717
Glucosilated hemoglobin,0.0
Albumin,0.0
HDL Cholesterol,0.0
LDL Cholesterol,0.0
Creatinine,0.0
Insulin,0.0
Triglycerides,0.0
Days per week of intense physical activity,0.029113784352328455
Days per week of moderate physical activity,0.01526503995732058
Days waliking,-0.06463526361107977
Hemoglobin,-0.27824315598195315
Minutes sitting down during the day,0.13121791702980978
Body Mass Index,3.24970528737428
Waist circumference,0.6546383567085173
Systolic Blood Pressure,0.0
Diastolic Blood Pressure,0.0
